FILE_VERSION	2.0.0
NO_OF_FRAMES	810
NO_OF_CAMERAS	4
NO_OF_MARKERS	5
FREQUENCY	300
DESCRIPTION	--
TIME_STAMP	2026-01-09, 11:32:05.274	268270.80720153
DATA_INCLUDED	3D
MARKER_NAMES	Ball Butler - 1	Ball Butler - 2	Ball Butler - 3	Ball Butler - 4	Ball Butler - 5
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Measured	Measured
Frame	Time	Ball Butler - 1 X	Ball Butler - 1 Y	Ball Butler - 1 Z	Ball Butler - 2 X	Ball Butler - 2 Y	Ball Butler - 2 Z	Ball Butler - 3 X	Ball Butler - 3 Y	Ball Butler - 3 Z	Ball Butler - 4 X	Ball Butler - 4 Y	Ball Butler - 4 Z	Ball Butler - 5 X	Ball Butler - 5 Y	Ball Butler - 5 Z	
117	0.38667	0.000	0.000	0.000	0.000	0.000	0.000	-594.298	-115.953	1725.886	-690.086	-76.738	1724.446	-625.305	-65.144	1723.500
118	0.39000	0.000	0.000	0.000	0.000	0.000	0.000	-594.535	-115.373	1725.881	-690.560	-76.730	1724.433	-625.836	-64.639	1723.502
119	0.39333	0.000	0.000	0.000	0.000	0.000	0.000	-594.730	-114.827	1725.856	-690.980	-76.642	1724.422	-626.241	-64.094	1723.461
120	0.39667	0.000	0.000	0.000	-604.038	-207.396	1726.406	-594.886	-114.295	1725.825	-691.308	-76.776	1724.328	-626.690	-63.752	1723.392
121	0.40000	0.000	0.000	0.000	-603.900	-207.048	1726.381	-595.184	-113.366	1725.860	-691.593	-76.874	1724.219	-627.227	-63.319	1723.394
122	0.40333	0.000	0.000	0.000	-603.645	-206.567	1726.378	-595.359	-112.692	1725.874	-692.083	-76.572	1724.314	-627.767	-62.765	1723.494
123	0.40667	0.000	0.000	0.000	-603.446	-206.194	1726.327	-595.308	-111.709	1725.919	-692.512	-76.433	1724.327	-628.178	-62.462	1723.498
124	0.41000	0.000	0.000	0.000	-603.054	-205.509	1726.340	-595.790	-111.594	1725.858	-692.961	-76.230	1724.413	-628.504	-62.286	1723.396
125	0.41333	0.000	0.000	0.000	-602.892	-205.228	1726.263	-595.952	-110.963	1725.870	-693.245	-76.412	1724.317	-629.081	-61.485	1723.476
126	0.41667	0.000	0.000	0.000	-602.590	-204.686	1726.265	-595.836	-109.738	1725.971	-693.567	-76.601	1724.218	-629.578	-61.166	1723.458
